scenario,seed,step,adoption_share,adopted_count
baseline,33,5,0.26,26
baseline,33,6,0.28,28
baseline,33,7,0.3,30
baseline,33,8,0.32,32
baseline,33,9,0.34,34
baseline,33,10,0.36,36
baseline,33,11,0.37,37
baseline,33,12,0.38,38
baseline,33,13,0.38,38
baseline,33,14,0.38,38
baseline,33,15,0.38,38
baseline,33,16,0.38,38
baseline,33,17,0.38,38
baseline,33,18,0.38,38
baseline,33,19,0.38,38
baseline,33,20,0.38,38
baseline,33,21,0.38,38
baseline,33,22,0.38,38
baseline,33,23,0.38,38
baseline,33,24,0.38,38
baseline,33,25,0.38,38
baseline,33,26,0.38,38
baseline,33,27,0.38,38
baseline,33,28,0.38,38
baseline,33,29,0.38,38
baseline,33,30,0.38,38
baseline,34,0,0.08,8
baseline,34,1,0.09,9
baseline,34,2,0.09,9
baseline,34,3,0.09,9
baseline,34,4,0.09,9
baseline,34,5,0.09,9
baseline,34,6,0.09,9
baseline,34,7,0.09,9
baseline,34,8,0.09,9
baseline,34,9,0.09,9
baseline,34,10,0.09,9
baseline,34,11,0.09,9
baseline,34,12,0.09,9
baseline,34,13,0.09,9
baseline,34,14,0.09,9
baseline,34,15,0.09,9
baseline,34,16,0.09,9
baseline,34,17,0.09,9
baseline,34,18,0.09,9
baseline,34,19,0.09,9
baseline,34,20,0.09,9
baseline,34,21,0.09,9
baseline,34,22,0.09,9
baseline,34,23,0.09,9
baseline,34,24,0.09,9
baseline,34,25,0.09,9
baseline,34,26,0.09,9
baseline,34,27,0.09,9
baseline,34,28,0.09,9
baseline,34,29,0.09,9
baseline,34,30,0.09,9
baseline,35,0,0.08,8
baseline,35,1,0.1,10
baseline,35,2,0.13,13
baseline,35,3,0.16,16
baseline,35,4,0.19,19
baseline,35,5,0.22,22
baseline,35,6,0.23,23
baseline,35,7,0.23,23
baseline,35,8,0.23,23
baseline,35,9,0.23,23
baseline,35,10,0.23,23
baseline,35,11,0.23,23
baseline,35,12,0.23,23
baseline,35,13,0.23,23
baseline,35,14,0.23,23
baseline,35,15,0.23,23
baseline,35,16,0.23,23
baseline,35,17,0.23,23
baseline,35,18,0.23,23
baseline,35,19,0.23,23
baseline,35,20,0.23,23
baseline,35,21,0.23,23
baseline,35,22,0.23,23
baseline,35,23,0.23,23
baseline,35,24,0.23,23
baseline,35,25,0.23,23
baseline,35,26,0.23,23
baseline,35,27,0.23,23
baseline,35,28,0.23,23
baseline,35,29,0.23,23
baseline,35,30,0.23,23
baseline,36,0,0.08,8
baseline,36,1,0.1,10
baseline,36,2,0.12,12
baseline,36,3,0.15,15
baseline,36,4,0.17,17
baseline,36,5,0.19,19
baseline,36,6,0.2,20
baseline,36,7,0.21,21
baseline,36,8,0.22,22
baseline,36,9,0.23,23
baseline,36,10,0.24,24
baseline,36,11,0.25,25
baseline,36,12,0.27,27
baseline,36,13,0.28,28
baseline,36,14,0.29,29
baseline,36,15,0.3,30
baseline,36,16,0.31,31
baseline,36,17,0.32,32
baseline,36,18,0.33,33
baseline,36,19,0.34,34
baseline,36,20,0.35,35
baseline,36,21,0.35,35
baseline,36,22,0.35,35
baseline,36,23,0.35,35
baseline,36,24,0.35,35
baseline,36,25,0.35,35
baseline,36,26,0.35,35
baseline,36,27,0.35,35
baseline,36,28,0.35,35
baseline,36,29,0.35,35
baseline,36,30,0.35,35
baseline,37,0,0.08,8
baseline,37,1,0.13,13
baseline,37,2,0.15,15
baseline,37,3,0.17,17
baseline,37,4,0.18,18
baseline,37,5,0.19,19
baseline,37,6,0.2,20
baseline,37,7,0.21,21
baseline,37,8,0.22,22
baseline,37,9,0.23,23
baseline,37,10,0.24,24
baseline,37,11,0.25,25
baseline,37,12,0.26,26
baseline,37,13,0.27,27
baseline,37,14,0.28,28
baseline,37,15,0.28,28
baseline,37,16,0.28,28
baseline,37,17,0.28,28
baseline,37,18,0.28,28
baseline,37,19,0.28,28
baseline,37,20,0.28,28
baseline,37,21,0.28,28
baseline,37,22,0.28,28
baseline,37,23,0.28,28
baseline,37,24,0.28,28
baseline,37,25,0.28,28
baseline,37,26,0.28,28
baseline,37,27,0.28,28
baseline,37,28,0.28,28
baseline,37,29,0.28,28
baseline,37,30,0.28,28
baseline,38,0,0.08,8
baseline,38,1,0.1,10
baseline,38,2,0.12,12
baseline,38,3,0.16,16
baseline,38,4,0.21,21
baseline,38,5,0.24,24
baseline,38,6,0.26,26
baseline,38,7,0.28,28
baseline,38,8,0.3,30
baseline,38,9,0.32,32
baseline,38,10,0.34,34
baseline,38,11,0.36,36
baseline,38,12,0.39,39
baseline,38,13,0.4,40
baseline,38,14,0.41,41
baseline,38,15,0.42,42
baseline,38,16,0.43,43
baseline,38,17,0.44,44
baseline,38,18,0.46,46
baseline,38,19,0.47,47
baseline,38,20,0.48,48
baseline,38,21,0.49,49
baseline,38,22,0.5,50
baseline,38,23,0.51,51
baseline,38,24,0.52,52
baseline,38,25,0.53,53
baseline,38,26,0.54,54
baseline,38,27,0.55,55
baseline,38,28,0.56,56
baseline,38,29,0.57,57
baseline,38,30,0.57,57
baseline,39,0,0.08,8
baseline,39,1,0.11,11
baseline,39,2,0.13,13
baseline,39,3,0.16,16
baseline,39,4,0.18,18
baseline,39,5,0.19,19
baseline,39,6,0.2,20
baseline,39,7,0.21,21
baseline,39,8,0.22,22
baseline,39,9,0.23,23
baseline,39,10,0.24,24
baseline,39,11,0.25,25
baseline,39,12,0.25,25
baseline,39,13,0.25,25
baseline,39,14,0.25,25
baseline,39,15,0.25,25
baseline,39,16,0.25,25
baseline,39,17,0.25,25
baseline,39,18,0.25,25
baseline,39,19,0.25,25
baseline,39,20,0.25,25
baseline,39,21,0.25,25
baseline,39,22,0.25,25
baseline,39,23,0.25,25
baseline,39,24,0.25,25
baseline,39,25,0.25,25
baseline,39,26,0.25,25
baseline,39,27,0.25,25
baseline,39,28,0.25,25
baseline,39,29,0.25,25
baseline,39,30,0.25,25
baseline,40,0,0.08,8
baseline,40,1,0.09,9
baseline,40,2,0.1,10
baseline,40,3,0.11,11
baseline,40,4,0.12,12
baseline,40,5,0.13,13
baseline,40,6,0.14,14
baseline,40,7,0.15,15
baseline,40,8,0.16,16
baseline,40,9,0.18,18
baseline,40,10,0.19,19
baseline,40,11,0.19,19
baseline,40,12,0.19,19
baseline,40,13,0.19,19
baseline,40,14,0.19,19
baseline,40,15,0.19,19
baseline,40,16,0.19,19
baseline,40,17,0.19,19
baseline,40,18,0.19,19
baseline,40,19,0.19,19
baseline,40,20,0.19,19
baseline,40,21,0.19,19
baseline,40,22,0.19,19
baseline,40,23,0.19,19
baseline,40,24,0.19,19
baseline,40,25,0.19,19
baseline,40,26,0.19,19
baseline,40,27,0.19,19
baseline,40,28,0.19,19
baseline,40,29,0.19,19
baseline,40,30,0.19,19
low_threshold,1,0,0.08,8
low_threshold,1,1,0.28,28
low_threshold,1,2,0.47,47
low_threshold,1,3,0.58,58
low_threshold,1,4,0.67,67
low_threshold,1,5,0.76,76
low_threshold,1,6,0.82,82
low_threshold,1,7,0.86,86
low_threshold,1,8,0.89,89
low_threshold,1,9,0.91,91
low_threshold,1,10,0.94,94
low_threshold,1,11,0.98,98
low_threshold,1,12,1.0,100
low_threshold,1,13,1.0,100
low_threshold,1,14,1.0,100
low_threshold,1,15,1.0,100
low_threshold,1,16,1.0,100
low_threshold,1,17,1.0,100
low_threshold,1,18,1.0,100
low_threshold,1,19,1.0,100
low_threshold,1,20,1.0,100
low_threshold,1,21,1.0,100
low_threshold,1,22,1.0,100
low_threshold,1,23,1.0,100
low_threshold,1,24,1.0,100
low_threshold,1,25,1.0,100
low_threshold,1,26,1.0,100
low_threshold,1,27,1.0,100
low_threshold,1,28,1.0,100
low_threshold,1,29,1.0,100
low_threshold,1,30,1.0,100
low_threshold,2,0,0.08,8
low_threshold,2,1,0.26,26
low_threshold,2,2,0.42,42
low_threshold,2,3,0.53,53
low_threshold,2,4,0.65,65
low_threshold,2,5,0.72,72
low_threshold,2,6,0.8,80
low_threshold,2,7,0.83,83
low_threshold,2,8,0.85,85
low_threshold,2,9,0.89,89
low_threshold,2,10,0.92,92
low_threshold,2,11,0.95,95
low_threshold,2,12,0.99,99
low_threshold,2,13,1.0,100
low_threshold,2,14,1.0,100
low_threshold,2,15,1.0,100
low_threshold,2,16,1.0,100
low_threshold,2,17,1.0,100
low_threshold,2,18,1.0,100
low_threshold,2,19,1.0,100
low_threshold,2,20,1.0,100
low_threshold,2,21,1.0,100
low_threshold,2,22,1.0,100
low_threshold,2,23,1.0,100
low_threshold,2,24,1.0,100
low_threshold,2,25,1.0,100
low_threshold,2,26,1.0,100
low_threshold,2,27,1.0,100
low_threshold,2,28,1.0,100
low_threshold,2,29,1.0,100
low_threshold,2,30,1.0,100
low_threshold,3,0,0.08,8
low_threshold,3,1,0.25,25
low_threshold,3,2,0.39,39
low_threshold,3,3,0.48,48
low_threshold,3,4,0.58,58
low_threshold,3,5,0.65,65
low_threshold,3,6,0.76,76
low_threshold,3,7,0.87,87
low_threshold,3,8,0.93,93
low_threshold,3,9,0.96,96
low_threshold,3,10,0.98,98
low_threshold,3,11,1.0,100
low_threshold,3,12,1.0,100
low_threshold,3,13,1.0,100
low_threshold,3,14,1.0,100
low_threshold,3,15,1.0,100
low_threshold,3,16,1.0,100
low_threshold,3,17,1.0,100
low_threshold,3,18,1.0,100
low_threshold,3,19,1.0,100
low_threshold,3,20,1.0,100
low_threshold,3,21,1.0,100
low_threshold,3,22,1.0,100
low_threshold,3,23,1.0,100
low_threshold,3,24,1.0,100
low_threshold,3,25,1.0,100
low_threshold,3,26,1.0,100
low_threshold,3,27,1.0,100
low_threshold,3,28,1.0,100
low_threshold,3,29,1.0,100
low_threshold,3,30,1.0,100
low_threshold,4,0,0.08,8
low_threshold,4,1,0.23,23
low_threshold,4,2,0.4,40
low_threshold,4,3,0.53,53
low_threshold,4,4,0.65,65
low_threshold,4,5,0.79,79
low_threshold,4,6,0.86,86
low_threshold,4,7,0.88,88
low_threshold,4,8,0.91,91
low_threshold,4,9,0.95,95
low_threshold,4,10,0.98,98
low_threshold,4,11,1.0,100
low_threshold,4,12,1.0,100
low_threshold,4,13,1.0,100
low_threshold,4,14,1.0,100
low_threshold,4,15,1.0,100
low_threshold,4,16,1.0,100
low_threshold,4,17,1.0,100
low_threshold,4,18,1.0,100
low_threshold,4,19,1.0,100
low_threshold,4,20,1.0,100
low_threshold,4,21,1.0,100
low_threshold,4,22,1.0,100
low_threshold,4,23,1.0,100
low_threshold,4,24,1.0,100
low_threshold,4,25,1.0,100
low_threshold,4,26,1.0,100
low_threshold,4,27,1.0,100
low_threshold,4,28,1.0,100
low_threshold,4,29,1.0,100
low_threshold,4,30,1.0,100
low_threshold,5,0,0.08,8
low_threshold,5,1,0.28,28
low_threshold,5,2,0.5,50
low_threshold,5,3,0.65,65
low_threshold,5,4,0.78,78
low_threshold,5,5,0.89,89
low_threshold,5,6,0.94,94
low_threshold,5,7,0.98,98
low_threshold,5,8,1.0,100
low_threshold,5,9,1.0,100
low_threshold,5,10,1.0,100
low_threshold,5,11,1.0,100
low_threshold,5,12,1.0,100
low_threshold,5,13,1.0,100
low_threshold,5,14,1.0,100
low_threshold,5,15,1.0,100
low_threshold,5,16,1.0,100
low_threshold,5,17,1.0,100
low_threshold,5,18,1.0,100
low_threshold,5,19,1.0,100
low_threshold,5,20,1.0,100
low_threshold,5,21,1.0,100
low_threshold,5,22,1.0,100
low_threshold,5,23,1.0,100
low_threshold,5,24,1.0,100
low_threshold,5,25,1.0,100
low_threshold,5,26,1.0,100
low_threshold,5,27,1.0,100
low_threshold,5,28,1.0,100
low_threshold,5,29,1.0,100
low_threshold,5,30,1.0,100
low_threshold,6,0,0.08,8
low_threshold,6,1,0.23,23
low_threshold,6,2,0.39,39
low_threshold,6,3,0.51,51
low_threshold,6,4,0.57,57
low_threshold,6,5,0.6,60
low_threshold,6,6,0.63,63
low_threshold,6,7,0.65,65
low_threshold,6,8,0.68,68
low_threshold,6,9,0.71,71
low_threshold,6,10,0.75,75
low_threshold,6,11,0.77,77
low_threshold,6,12,0.81,81
low_threshold,6,13,0.84,84
low_threshold,6,14,0.87,87
low_threshold,6,15,0.9,90
low_threshold,6,16,0.93,93
low_threshold,6,17,0.97,97
low_threshold,6,18,1.0,100
low_threshold,6,19,1.0,100
low_threshold,6,20,1.0,100
low_threshold,6,21,1.0,100
low_threshold,6,22,1.0,100
low_threshold,6,23,1.0,100
low_threshold,6,24,1.0,100
low_threshold,6,25,1.0,100
low_threshold,6,26,1.0,100
low_threshold,6,27,1.0,100
low_threshold,6,28,1.0,100
low_threshold,6,29,1.0,100
low_threshold,6,30,1.0,100
low_threshold,7,0,0.08,8
low_threshold,7,1,0.25,25
low_threshold,7,2,0.46,46
low_threshold,7,3,0.6,60
low_threshold,7,4,0.73,73
low_threshold,7,5,0.86,86
low_threshold,7,6,0.9,90
low_threshold,7,7,0.92,92
low_threshold,7,8,0.96,96
low_threshold,7,9,0.99,99
low_threshold,7,10,1.0,100
low_threshold,7,11,1.0,100
low_threshold,7,12,1.0,100
low_threshold,7,13,1.0,100
low_threshold,7,14,1.0,100
low_threshold,7,15,1.0,100
low_threshold,7,16,1.0,100
low_threshold,7,17,1.0,100
low_threshold,7,18,1.0,100
low_threshold,7,19,1.0,100
low_threshold,7,20,1.0,100
low_threshold,7,21,1.0,100
low_threshold,7,22,1.0,100
low_threshold,7,23,1.0,100
low_threshold,7,24,1.0,100
low_threshold,7,25,1.0,100
low_threshold,7,26,1.0,100
low_threshold,7,27,1.0,100
low_threshold,7,28,1.0,100
low_threshold,7,29,1.0,100
low_threshold,7,30,1.0,100
low_threshold,8,0,0.08,8
low_threshold,8,1,0.24,24
low_threshold,8,2,0.46,46
low_threshold,8,3,0.63,63
low_threshold,8,4,0.75,75
low_threshold,8,5,0.82,82
low_threshold,8,6,0.9,90
low_threshold,8,7,0.97,97
low_threshold,8,8,1.0,100
low_threshold,8,9,1.0,100
low_threshold,8,10,1.0,100
low_threshold,8,11,1.0,100
low_threshold,8,12,1.0,100
low_threshold,8,13,1.0,100
low_threshold,8,14,1.0,100
low_threshold,8,15,1.0,100
low_threshold,8,16,1.0,100
low_threshold,8,17,1.0,100
low_threshold,8,18,1.0,100
low_threshold,8,19,1.0,100
low_threshold,8,20,1.0,100
low_threshold,8,21,1.0,100
low_threshold,8,22,1.0,100
low_threshold,8,23,1.0,100
low_threshold,8,24,1.0,100
low_threshold,8,25,1.0,100
low_threshold,8,26,1.0,100
low_threshold,8,27,1.0,100
low_threshold,8,28,1.0,100
low_threshold,8,29,1.0,100
low_threshold,8,30,1.0,100
low_threshold,9,0,0.08,8
low_threshold,9,1,0.29,29
low_threshold,9,2,0.48,48
low_threshold,9,3,0.57,57
low_threshold,9,4,0.64,64
low_threshold,9,5,0.68,68
low_threshold,9,6,0.76,76
low_threshold,9,7,0.84,84
low_threshold,9,8,0.88,88
low_threshold,9,9,0.91,91
low_threshold,9,10,0.94,94
low_threshold,9,11,0.98,98
low_threshold,9,12,1.0,100
low_threshold,9,13,1.0,100
low_threshold,9,14,1.0,100
low_threshold,9,15,1.0,100
low_threshold,9,16,1.0,100
low_threshold,9,17,1.0,100
low_threshold,9,18,1.0,100
low_threshold,9,19,1.0,100
low_threshold,9,20,1.0,100
low_threshold,9,21,1.0,100
low_threshold,9,22,1.0,100
low_threshold,9,23,1.0,100
low_threshold,9,24,1.0,100
low_threshold,9,25,1.0,100
low_threshold,9,26,1.0,100
low_threshold,9,27,1.0,100
low_threshold,9,28,1.0,100
low_threshold,9,29,1.0,100
low_threshold,9,30,1.0,100
low_threshold,10,0,0.08,8
low_threshold,10,1,0.23,23
low_threshold,10,2,0.37,37
low_threshold,10,3,0.52,52
low_threshold,10,4,0.61,61
low_threshold,10,5,0.68,68
low_threshold,10,6,0.74,74
low_threshold,10,7,0.81,81
low_threshold,10,8,0.88,88
low_threshold,10,9,0.94,94
low_threshold,10,10,0.98,98
low_threshold,10,11,1.0,100
low_threshold,10,12,1.0,100
low_threshold,10,13,1.0,100
low_threshold,10,14,1.0,100
low_threshold,10,15,1.0,100
low_threshold,10,16,1.0,100
low_threshold,10,17,1.0,100
low_threshold,10,18,1.0,100
low_threshold,10,19,1.0,100
low_threshold,10,20,1.0,100
low_threshold,10,21,1.0,100
low_threshold,10,22,1.0,100
low_threshold,10,23,1.0,100
low_threshold,10,24,1.0,100
low_threshold,10,25,1.0,100
low_threshold,10,26,1.0,100
low_threshold,10,27,1.0,100
low_threshold,10,28,1.0,100
low_threshold,10,29,1.0,100
low_threshold,10,30,1.0,100
low_threshold,11,0,0.08,8
low_threshold,11,1,0.2,20
low_threshold,11,2,0.31,31
low_threshold,11,3,0.47,47
low_threshold,11,4,0.6,60
low_threshold,11,5,0.65,65
low_threshold,11,6,0.71,71
low_threshold,11,7,0.78,78
low_threshold,11,8,0.86,86
low_threshold,11,9,0.91,91
low_threshold,11,10,0.94,94
low_threshold,11,11,0.98,98
low_threshold,11,12,1.0,100
low_threshold,11,13,1.0,100
low_threshold,11,14,1.0,100
low_threshold,11,15,1.0,100
low_threshold,11,16,1.0,100
low_threshold,11,17,1.0,100
low_threshold,11,18,1.0,100
low_threshold,11,19,1.0,100
low_threshold,11,20,1.0,100
low_threshold,11,21,1.0,100
low_threshold,11,22,1.0,100
low_threshold,11,23,1.0,100
low_threshold,11,24,1.0,100
low_threshold,11,25,1.0,100
low_threshold,11,26,1.0,100
low_threshold,11,27,1.0,100
low_threshold,11,28,1.0,100
low_threshold,11,29,1.0,100
low_threshold,11,30,1.0,100
low_threshold,12,0,0.08,8
low_threshold,12,1,0.33,33
low_threshold,12,2,0.53,53
low_threshold,12,3,0.67,67
low_threshold,12,4,0.81,81
low_threshold,12,5,0.9,90
low_threshold,12,6,0.97,97
low_threshold,12,7,1.0,100
low_threshold,12,8,1.0,100
low_threshold,12,9,1.0,100
low_threshold,12,10,1.0,100
low_threshold,12,11,1.0,100
low_threshold,12,12,1.0,100
low_threshold,12,13,1.0,100
low_threshold,12,14,1.0,100
low_threshold,12,15,1.0,100
low_threshold,12,16,1.0,100
low_threshold,12,17,1.0,100
low_threshold,12,18,1.0,100
low_threshold,12,19,1.0,100
low_threshold,12,20,1.0,100
low_threshold,12,21,1.0,100
low_threshold,12,22,1.0,100
low_threshold,12,23,1.0,100
low_threshold,12,24,1.0,100
low_threshold,12,25,1.0,100
low_threshold,12,26,1.0,100
low_threshold,12,27,1.0,100
low_threshold,12,28,1.0,100
low_threshold,12,29,1.0,100
low_threshold,12,30,1.0,100
low_threshold,13,0,0.08,8
low_threshold,13,1,0.25,25
low_threshold,13,2,0.41,41
low_threshold,13,3,0.55,55
low_threshold,13,4,0.7,70
low_threshold,13,5,0.81,81
low_threshold,13,6,0.91,91
low_threshold,13,7,0.95,95
low_threshold,13,8,0.99,99
low_threshold,13,9,1.0,100
low_threshold,13,10,1.0,100
low_threshold,13,11,1.0,100
low_threshold,13,12,1.0,100
low_threshold,13,13,1.0,100
low_threshold,13,14,1.0,100
low_threshold,13,15,1.0,100
low_threshold,13,16,1.0,100
low_threshold,13,17,1.0,100
low_threshold,13,18,1.0,100
low_threshold,13,19,1.0,100
low_threshold,13,20,1.0,100
low_threshold,13,21,1.0,100
low_threshold,13,22,1.0,100
low_threshold,13,23,1.0,100
low_threshold,13,24,1.0,100
low_threshold,13,25,1.0,100
low_threshold,13,26,1.0,100
low_threshold,13,27,1.0,100
low_threshold,13,28,1.0,100
low_threshold,13,29,1.0,100
low_threshold,13,30,1.0,100
low_threshold,14,0,0.08,8
low_threshold,14,1,0.31,31
low_threshold,14,2,0.5,50
low_threshold,14,3,0.58,58
low_threshold,14,4,0.63,63
low_threshold,14,5,0.7,70
low_threshold,14,6,0.76,76
low_threshold,14,7,0.81,81
low_threshold,14,8,0.88,88
low_threshold,14,9,0.95,95
low_threshold,14,10,1.0,100
low_threshold,14,11,1.0,100
low_threshold,14,12,1.0,100
low_threshold,14,13,1.0,100
low_threshold,14,14,1.0,100
low_threshold,14,15,1.0,100
low_threshold,14,16,1.0,100
low_threshold,14,17,1.0,100
low_threshold,14,18,1.0,100
low_threshold,14,19,1.0,100
low_threshold,14,20,1.0,100
low_threshold,14,21,1.0,100
low_threshold,14,22,1.0,100
low_threshold,14,23,1.0,100
low_threshold,14,24,1.0,100
low_threshold,14,25,1.0,100
low_threshold,14,26,1.0,100
low_threshold,14,27,1.0,100
low_threshold,14,28,1.0,100
low_threshold,14,29,1.0,100
low_threshold,14,30,1.0,100
low_threshold,15,0,0.08,8
low_threshold,15,1,0.28,28
low_threshold,15,2,0.45,45
low_threshold,15,3,0.58,58
low_threshold,15,4,0.68,68
low_threshold,15,5,0.73,73
low_threshold,15,6,0.77,77
low_threshold,15,7,0.79,79
low_threshold,15,8,0.83,83
low_threshold,15,9,0.86,86
low_threshold,15,10,0.89,89
low_threshold,15,11,0.92,92
low_threshold,15,12,0.96,96
low_threshold,15,13,1.0,100
low_threshold,15,14,1.0,100
low_threshold,15,15,1.0,100
low_threshold,15,16,1.0,100
low_threshold,15,17,1.0,100
low_threshold,15,18,1.0,100
low_threshold,15,19,1.0,100
low_threshold,15,20,1.0,100
low_threshold,15,21,1.0,100
low_threshold,15,22,1.0,100
low_threshold,15,23,1.0,100
low_threshold,15,24,1.0,100
low_threshold,15,25,1.0,100
low_threshold,15,26,1.0,100
low_threshold,15,27,1.0,100
low_threshold,15,28,1.0,100
low_threshold,15,29,1.0,100
low_threshold,15,30,1.0,100
low_threshold,16,0,0.08,8
low_threshold,16,1,0.26,26
low_threshold,16,2,0.42,42
low_threshold,16,3,0.59,59
low_threshold,16,4,0.71,71
low_threshold,16,5,0.79,79
low_threshold,16,6,0.86,86
low_threshold,16,7,0.94,94
low_threshold,16,8,0.98,98
low_threshold,16,9,1.0,100
low_threshold,16,10,1.0,100
low_threshold,16,11,1.0,100
low_threshold,16,12,1.0,100
low_threshold,16,13,1.0,100
low_threshold,16,14,1.0,100
low_threshold,16,15,1.0,100
low_threshold,16,16,1.0,100
low_threshold,16,17,1.0,100
low_threshold,16,18,1.0,100
low_threshold,16,19,1.0,100
low_threshold,16,20,1.0,100
low_threshold,16,21,1.0,100
low_threshold,16,22,1.0,100
low_threshold,16,23,1.0,100
low_threshold,16,24,1.0,100
low_threshold,16,25,1.0,100
low_threshold,16,26,1.0,100
low_threshold,16,27,1.0,100
low_threshold,16,28,1.0,100
low_threshold,16,29,1.0,100
low_threshold,16,30,1.0,100
low_threshold,17,0,0.08,8
low_threshold,17,1,0.24,24
low_threshold,17,2,0.43,43
low_threshold,17,3,0.58,58
low_threshold,17,4,0.71,71
low_threshold,17,5,0.8,80
low_threshold,17,6,0.9,90
low_threshold,17,7,0.97,97
low_threshold,17,8,1.0,100
low_threshold,17,9,1.0,100
low_threshold,17,10,1.0,100
low_threshold,17,11,1.0,100
low_threshold,17,12,1.0,100
low_threshold,17,13,1.0,100
low_threshold,17,14,1.0,100
low_threshold,17,15,1.0,100
low_threshold,17,16,1.0,100
low_threshold,17,17,1.0,100
low_threshold,17,18,1.0,100
low_threshold,17,19,1.0,100
low_threshold,17,20,1.0,100
low_threshold,17,21,1.0,100
low_threshold,17,22,1.0,100
low_threshold,17,23,1.0,100
low_threshold,17,24,1.0,100
low_threshold,17,25,1.0,100
low_threshold,17,26,1.0,100
low_threshold,17,27,1.0,100
low_threshold,17,28,1.0,100
low_threshold,17,29,1.0,100
low_threshold,17,30,1.0,100
low_threshold,18,0,0.08,8
low_threshold,18,1,0.24,24
low_threshold,18,2,0.37,37
low_threshold,18,3,0.47,47
low_threshold,18,4,0.55,55
low_threshold,18,5,0.62,62
low_threshold,18,6,0.65,65
low_threshold,18,7,0.68,68
low_threshold,18,8,0.71,71
low_threshold,18,9,0.75,75
low_threshold,18,10,0.78,78
low_threshold,18,11,0.8,80
low_threshold,18,12,0.83,83
low_threshold,18,13,0.87,87
low_threshold,18,14,0.9,90
low_threshold,18,15,0.94,94
low_threshold,18,16,0.97,97
low_threshold,18,17,1.0,100
low_threshold,18,18,1.0,100
low_threshold,18,19,1.0,100
low_threshold,18,20,1.0,100
low_threshold,18,21,1.0,100
low_threshold,18,22,1.0,100
low_threshold,18,23,1.0,100
low_threshold,18,24,1.0,100
low_threshold,18,25,1.0,100
low_threshold,18,26,1.0,100
low_threshold,18,27,1.0,100
low_threshold,18,28,1.0,100
low_threshold,18,29,1.0,100
low_threshold,18,30,1.0,100
low_threshold,19,0,0.08,8
low_threshold,19,1,0.27,27
low_threshold,19,2,0.52,52
low_threshold,19,3,0.71,71
low_threshold,19,4,0.88,88
low_threshold,19,5,0.96,96
low_threshold,19,6,0.99,99
low_threshold,19,7,1.0,100
low_threshold,19,8,1.0,100
low_threshold,19,9,1.0,100
low_threshold,19,10,1.0,100
low_threshold,19,11,1.0,100
low_threshold,19,12,1.0,100
low_threshold,19,13,1.0,100
low_threshold,19,14,1.0,100
low_threshold,19,15,1.0,100
low_threshold,19,16,1.0,100
low_threshold,19,17,1.0,100
low_threshold,19,18,1.0,100
low_threshold,19,19,1.0,100
low_threshold,19,20,1.0,100
low_threshold,19,21,1.0,100
low_threshold,19,22,1.0,100
low_threshold,19,23,1.0,100
low_threshold,19,24,1.0,100
low_threshold,19,25,1.0,100
low_threshold,19,26,1.0,100
low_threshold,19,27,1.0,100
low_threshold,19,28,1.0,100
low_threshold,19,29,1.0,100
low_threshold,19,30,1.0,100
low_threshold,20,0,0.08,8
low_threshold,20,1,0.27,27
low_threshold,20,2,0.47,47
low_threshold,20,3,0.65,65
low_threshold,20,4,0.77,77
low_threshold,20,5,0.85,85
low_threshold,20,6,0.92,92
low_threshold,20,7,0.95,95
low_threshold,20,8,0.99,99
low_threshold,20,9,1.0,100
low_threshold,20,10,1.0,100
low_threshold,20,11,1.0,100
low_threshold,20,12,1.0,100
low_threshold,20,13,1.0,100
low_threshold,20,14,1.0,100
low_threshold,20,15,1.0,100
low_threshold,20,16,1.0,100
low_threshold,20,17,1.0,100
low_threshold,20,18,1.0,100
low_threshold,20,19,1.0,100
low_threshold,20,20,1.0,100
low_threshold,20,21,1.0,100
low_threshold,20,22,1.0,100
low_threshold,20,23,1.0,100
low_threshold,20,24,1.0,100
low_threshold,20,25,1.0,100
low_threshold,20,26,1.0,100
low_threshold,20,27,1.0,100
low_threshold,20,28,1.0,100
low_threshold,20,29,1.0,100
low_threshold,20,30,1.0,100
low_threshold,21,0,0.08,8
low_threshold,21,1,0.24,24
low_threshold,21,2,0.41,41
low_threshold,21,3,0.55,55
low_threshold,21,4,0.67,67
low_threshold,21,5,0.77,77
low_threshold,21,6,0.87,87
low_threshold,21,7,0.96,96
low_threshold,21,8,1.0,100
low_threshold,21,9,1.0,100
low_threshold,21,10,1.0,100
low_threshold,21,11,1.0,100
low_threshold,21,12,1.0,100
low_threshold,21,13,1.0,100
low_threshold,21,14,1.0,100
low_threshold,21,15,1.0,100
low_threshold,21,16,1.0,100
low_threshold,21,17,1.0,100
low_threshold,21,18,1.0,100
low_threshold,21,19,1.0,100
low_threshold,21,20,1.0,100
low_threshold,21,21,1.0,100
low_threshold,21,22,1.0,100
low_threshold,21,23,1.0,100
low_threshold,21,24,1.0,100
low_threshold,21,25,1.0,100
low_threshold,21,26,1.0,100
low_threshold,21,27,1.0,100
low_threshold,21,28,1.0,100
low_threshold,21,29,1.0,100
low_threshold,21,30,1.0,100
low_threshold,22,0,0.08,8
low_threshold,22,1,0.24,24
low_threshold,22,2,0.41,41
low_threshold,22,3,0.56,56
low_threshold,22,4,0.71,71
low_threshold,22,5,0.85,85
low_threshold,22,6,0.91,91
low_threshold,22,7,0.98,98
low_threshold,22,8,1.0,100
low_threshold,22,9,1.0,100
