scenario,period,storage,inflow,demand,losses,shortage,capacity,storage_margin
compound_stress,17,0.0,5.0,10.74350961,0.0,5.74350961,100.0,0.0
compound_stress,18,0.0,5.0,11.0658149,0.0,6.0658149,100.0,0.0
compound_stress,19,0.0,5.0,11.39778935,0.0,6.39778935,100.0,0.0
compound_stress,20,0.0,5.0,11.73972303,0.0,6.73972303,100.0,0.0
compound_stress,21,0.0,5.0,12.09191472,0.0,7.09191472,100.0,0.0
compound_stress,22,0.0,5.0,12.45467216,0.0,7.45467216,100.0,0.0
compound_stress,23,0.0,5.0,12.82831232,0.0,7.82831232,100.0,0.0
compound_stress,24,0.0,5.0,13.21316169,0.0,8.21316169,100.0,0.0
compound_stress,25,0.0,5.0,13.60955654,0.0,8.60955654,100.0,0.0
compound_stress,26,0.0,5.0,14.01784324,0.0,9.01784324,100.0,0.0
compound_stress,27,0.0,5.0,14.43837854,0.0,9.43837854,100.0,0.0
compound_stress,28,0.0,5.0,14.87152989,0.0,9.87152989,100.0,0.0
compound_stress,29,0.0,5.0,15.31767579,0.0,10.31767579,100.0,0.0
compound_stress,30,0.0,5.0,15.77720606,0.0,10.77720606,100.0,0.0
compound_stress,31,0.0,5.0,16.25052224,0.0,11.25052224,100.0,0.0
compound_stress,32,0.0,5.0,16.73803791,0.0,11.73803791,100.0,0.0
compound_stress,33,0.0,5.0,17.24017905,0.0,12.24017905,100.0,0.0
compound_stress,34,0.0,5.0,17.75738442,0.0,12.75738442,100.0,0.0
compound_stress,35,0.0,5.0,18.29010595,0.0,13.29010595,100.0,0.0
compound_stress,36,0.0,5.0,18.83880913,0.0,13.83880913,100.0,0.0
compound_stress,37,0.0,5.0,19.40397341,0.0,14.40397341,100.0,0.0
compound_stress,38,0.0,5.0,19.98609261,0.0,14.98609261,100.0,0.0
compound_stress,39,0.0,5.0,20.58567539,0.0,15.58567539,100.0,0.0
compound_stress,40,0.0,5.0,21.20324565,0.0,16.20324565,100.0,0.0
compound_stress,41,0.0,5.0,21.83934302,0.0,16.83934302,100.0,0.0
compound_stress,42,0.0,5.0,22.49452331,0.0,17.49452331,100.0,0.0
compound_stress,43,0.0,5.0,23.16935901,0.0,18.16935901,100.0,0.0
compound_stress,44,0.0,5.0,23.86443978,0.0,18.86443978,100.0,0.0
compound_stress,45,0.0,5.0,24.58037297,0.0,19.58037297,100.0,0.0
compound_stress,46,0.0,5.0,25.31778416,0.0,20.31778416,100.0,0.0
compound_stress,47,0.0,5.0,26.07731768,0.0,21.07731768,100.0,0.0
compound_stress,48,0.0,5.0,26.85963722,0.0,21.85963722,100.0,0.0
compound_stress,49,0.0,5.0,27.66542633,0.0,22.66542633,100.0,0.0
compound_stress,50,0.0,5.0,28.49538912,0.0,23.49538912,100.0,0.0
compound_stress,51,0.0,5.0,29.3502508,0.0,24.3502508,100.0,0.0
compound_stress,52,0.0,5.0,30.23075832,0.0,25.23075832,100.0,0.0
compound_stress,53,0.0,5.0,31.13768107,0.0,26.13768107,100.0,0.0
compound_stress,54,0.0,5.0,32.0718115,0.0,27.0718115,100.0,0.0
compound_stress,55,0.0,5.0,33.03396585,0.0,28.03396585,100.0,0.0
compound_stress,56,0.0,5.0,34.02498482,0.0,29.02498482,100.0,0.0
compound_stress,57,0.0,5.0,35.04573437,0.0,30.04573437,100.0,0.0
compound_stress,58,0.0,5.0,36.0971064,0.0,31.0971064,100.0,0.0
compound_stress,59,0.0,5.0,37.18001959,0.0,32.18001959,100.0,0.0
compound_stress,60,0.0,5.0,38.29542018,0.0,33.29542018,100.0,0.0
